Diện tích (m2),Số phòng ngủ,Số phòng tắm,Năm xây dựng,Vị trí (Mã vùng),Giá bán (VNĐ)
183,1,2,2007,55110,792445460
92,1,3,1972,55126,505892847
273,5,1,1993,55110,1023354127
54,3,3,1993,55160,790445429
119,3,1,2001,55126,711882219
104,5,1,2016,55109,778559873
239,2,3,1977,55111,773218006
46,3,2,2016,55110,601647735
157,5,3,1967,55126,957187484
280,2,3,1976,55156,692329517
208,2,1,2000,55107,807793386
211,4,1,2009,55160,633947912
181,2,1,2023,55110,729878133
54,3,2,1998,55156,341017030
209,3,3,1964,55106,627616156
227,5,3,2022,55156,775953451
190,5,2,2017,55110,658625788
206,2,3,1964,55126,778891472
92,1,3,2000,55111,723936392
179,4,1,1997,55110,566432261
183,1,2,2021,55109,513493099
185,2,1,1950,55160,667401619
78,2,2,1956,55123,536880969
113,1,1,2002,55109,569363976
206,4,3,1980,55109,823079583
177,1,2,1967,55123,511407073
147,5,2,1961,55160,930395104
92,3,1,1997,55109,542416319
218,5,2,1979,55160,922422703
78,3,3,1956,55160,743999759
286,2,3,1952,55156,574085681
253,4,3,2012,55160,681759409
170,1,1,1955,55160,407248022
244,4,2,1964,55111,812624537
240,1,1,2020,55111,391718252
61,5,3,1992,55111,799489013
187,5,2,1967,55126,566659435
173,1,3,1971,55106,367321512
48,4,2,2010,55160,482804093
47,1,2,2010,55110,438715364
286,2,1,2002,55123,557426056
107,5,2,1975,55107,605354653
204,2,3,1989,55160,856797964
223,5,2,1957,55107,827354363
142,5,3,1970,55111,648429417
143,3,1,1992,55109,523014335
251,2,3,1970,55156,759780161
195,2,2,1952,55110,563093278
161,3,3,1980,55111,605935611
293,4,3,1976,55160,922532159
84,2,2,1976,55106,697734968
160,1,3,2022,55110,779933682
295,3,2,2006,55199,727659835
191,2,1,1982,55106,570133439
116,4,3,1993,55199,542424202
84,2,1,1992,55109,296026670
207,5,3,1980,55107,718648856
37,1,3,2014,55156,293950974
276,3,1,1966,55199,892800518
284,5,3,1964,55126,970131022
83,4,3,1983,55111,527631645
278,5,1,1953,55123,784506910
268,5,3,2021,55126,1095491671
258,4,2,1977,55160,729566774
96,5,3,2022,55160,623515463
80,3,3,1951,55110,635083165
126,2,3,1966,55110,532043683
121,5,1,2007,55126,461401677
293,3,2,2023,55160,750330842
125,2,2,1958,55111,687227188
117,2,3,1980,55107,549989361
107,5,1,2015,55160,801879395
149,3,1,2011,55107,726671805
194,5,2,1968,55199,784302203
211,4,1,2023,55109,700063585
252,2,3,2004,55199,659030565
36,5,3,1977,55111,477279946
292,2,1,1999,55107,776570336
190,3,3,2014,55107,839289550
180,1,2,1952,55106,698277579
114,5,3,2001,55123,518538711
176,5,1,1959,55107,582428465
141,2,2,1970,55109,705469245
65,3,3,1986,55111,416322276
217,4,2,1964,55110,594393482
111,3,1,2023,55160,508304311
31,5,3,1958,55106,690174772
226,4,3,1993,55123,688869650
40,3,2,1988,55156,685419893
263,1,3,1954,55123,550158864
224,2,3,1974,55111,470106023
148,3,3,2005,55123,824378038
49,3,3,2013,55111,680157071
290,1,1,2021,55123,533247385
285,5,3,2001,55199,957591993
251,2,2,1958,55156,623763434
255,3,1,1959,55156,641506426
82,4,2,1959,55107,539253554
110,3,2,2022,55160,384996983
231,2,2,2011,55110,575926954
187,3,1,2009,55126,858601678
149,1,1,1968,55199,465623495
88,3,1,1987,55107,570800605
244,3,3,1955,55109,797669645
157,4,2,1964,55160,599508768
253,1,1,1996,55109,540216774
238,1,2,1994,55156,590704273
144,3,1,1954,55199,710665611
238,4,1,2002,55123,784091009
43,3,1,2015,55111,420657052
38,3,2,2011,55199,395952774
69,2,3,1972,55110,571990323
266,2,1,1993,55123,570053978
230,4,1,2001,55156,935144843
275,5,1,1995,55109,856602771
264,2,3,1968,55106,947194424
33,5,2,1996,55110,828544653
183,1,2,2001,55109,377154728
58,2,2,1973,55199,653039126
138,2,2,1966,55111,411179805
127,4,1,1995,55109,602530553
244,5,3,2013,55109,737878238
104,2,1,1977,55126,461506099
175,2,3,1999,55156,810243575
157,4,2,2013,55123,655839945
71,4,3,1977,55156,603858002
70,5,1,2005,55106,531035499
63,1,1,2008,55156,514928790
46,1,2,1954,55109,491204732
194,3,1,2003,55199,662902970
182,2,1,1993,55126,545180203
105,5,3,1991,55126,880023720
116,2,1,2021,55199,676327164
146,5,2,2006,55111,557430111
56,5,2,1996,55123,692037971
163,5,1,1974,55126,757351235
248,2,2,1993,55123,832130016
197,4,3,1964,55156,777996975
127,2,3,2000,55111,524369024
297,5,1,2002,55111,682943165
266,3,1,1983,55110,625552706
202,1,3,1957,55107,805160587
219,5,2,2019,55111,668189212
151,3,1,1970,55110,670400758
75,4,1,1956,55106,609109116
93,5,2,2005,55110,643939688
159,3,1,1998,55156,530397411
222,5,2,1991,55123,945918849
210,2,2,1972,55110,625259541
58,3,2,2001,55126,614518805
178,2,2,2002,55126,752137822
296,2,2,1965,55107,907117299
40,3,3,1986,55123,648274796
193,1,2,1967,55123,414325581
142,3,3,1969,55199,860344156
216,1,2,1995,55106,657018658
261,5,1,1951,55109,960927601
256,5,3,2012,55107,761947528
127,3,1,1952,55123,781023790
84,5,2,1995,55123,494365045
140,4,2,1998,55110,781455327
181,2,1,1950,55110,414231418
275,2,2,1971,55107,528226935
98,1,1,1963,55199,367051482
279,5,2,1994,55160,1047911369
65,1,2,1955,55107,283348056
268,2,3,2014,55199,810068396
177,2,1,1970,55111,423032228
256,5,2,1953,55110,768252294
273,4,1,1952,55111,843131270
230,4,3,1979,55199,659832018
183,5,1,1980,55110,692583345
102,5,3,1983,55107,734912745
230,1,1,1969,55109,571478872
46,5,1,2003,55126,743841028
158,4,3,1974,55109,901450223
246,5,2,1964,55156,836346460
90,1,2,1987,55107,506144694
133,1,2,1972,55199,419169818
71,1,1,2001,55126,383134360
54,1,1,2015,55126,327544334
68,3,2,2006,55156,717698293
160,5,1,2006,55199,900820611
258,2,1,2001,55106,872638199
137,5,2,1984,55106,654267312
201,3,3,2023,55106,772744848
131,1,1,1963,55126,288814420
41,3,1,1963,55111,653373583
130,4,1,1982,55106,617246297
73,4,1,2001,55156,629341896
46,5,3,1950,55156,648157249
86,5,2,1983,55199,523052266
41,2,1,1968,55126,524572942
109,2,2,1973,55111,648316258
245,4,1,1953,55106,642183703
293,1,3,1985,55123,553964591
178,3,2,2007,55106,447902196
110,2,3,1981,55109,440858674
244,2,1,1958,55111,494466805
227,1,3,2016,55199,759247551
229,1,3,1969,55199,565711909
54,5,1,2023,55111,472363085
118,3,1,2011,55111,553359844
297,1,2,2007,55107,459863185
172,2,1,1971,55109,614365525
88,2,2,2016,55109,427459537
55,4,3,2024,55107,792245234
76,1,3,1997,55199,294252737
295,5,2,1957,55109,800248351
45,3,1,2022,55126,374425424
228,5,1,1964,55106,749094779
115,2,3,1981,55110,671674568
279,5,2,2002,55123,826891084
299,2,3,2016,55109,845873315
146,2,3,1953,55110,829842916
36,2,1,1979,55111,245843641
166,2,2,1962,55199,643847325
205,2,3,1970,55123,860922326
244,4,1,1990,55123,816037950
111,5,3,1968,55126,902999515
252,4,3,1997,55123,631101498
132,4,1,2012,55156,522675977
43,1,1,1969,55110,619368600
188,1,2,2013,55110,692173691
181,1,3,1986,55110,665965603
137,3,2,1980,55111,604662425
217,1,1,2023,55156,408905689
127,5,1,1967,55106,707706156
160,4,3,1969,55123,624930380
200,5,2,1960,55199,903351312
212,1,2,1993,55111,612401831
68,3,3,2013,55123,376096451
44,3,3,1983,55126,652375958
33,4,2,2014,55126,512690018
239,5,1,2004,55111,887484938
190,2,1,2023,55110,776468043
45,5,3,1950,55110,730008776
137,1,2,1987,55111,673502990
256,2,2,1958,55126,746212012
199,3,2,2020,55110,891358820
63,4,1,1966,55126,598963076
280,4,1,2001,55123,858017170
276,3,2,1967,55199,941917002
298,1,2,2012,55199,472176712
170,3,3,1982,55109,891842786
125,1,3,1953,55110,347916977
256,2,2,2024,55156,506242202
68,3,2,2001,55106,494750604
58,1,1,1958,55110,257656504
274,2,2,2013,55160,544939451
265,3,3,1979,55109,968583499
214,4,1,1957,55111,721494408
265,3,3,1954,55111,989383593
268,5,3,2012,55109,897214683
295,3,1,1950,55156,529313939
94,5,3,1964,55156,884340211
206,2,2,1987,55156,763640652
32,3,3,1991,55126,683566874
171,2,1,1995,55156,599874713
187,2,1,2002,55107,800591230
175,1,1,1975,55123,321987100
182,2,3,2010,55156,643631260
222,2,2,2016,55199,840491669
102,3,1,2003,55106,505293655
169,3,2,1971,55107,721767337
216,4,1,1975,55199,562161554
90,1,2,2009,55111,627165093
227,2,2,1988,55156,787087262
40,1,2,1985,55110,472309500
91,5,1,1970,55106,594515302
255,2,3,1990,55109,704168782
182,1,3,1997,55126,715579390
228,4,3,1975,55110,611701301
81,4,2,2012,55126,694343858
289,2,1,1985,55106,562443181
88,5,2,1973,55106,628396655
101,4,1,1970,55156,466823149
177,4,2,1967,55107,757897852
92,5,1,1964,55160,493765752
272,1,1,1955,55106,759632563
136,4,1,1992,55156,570804385
255,3,2,1980,55111,924397192
247,4,3,1977,55160,950898914
270,1,2,1957,55107,692499269
288,1,2,1978,55156,531533860
291,2,1,1970,55110,529417997
34,3,1,2007,55107,466451772
290,1,3,2009,55107,493629960
83,5,3,1999,55106,658142546
76,3,1,1980,55107,723894358
244,3,3,1996,55110,813973992
206,5,3,1983,55107,759625115
38,4,1,1951,55107,709638041
128,5,2,2016,55160,547226021
49,5,3,2021,55106,696698087
270,4,1,2001,55110,806787992
90,4,3,1956,55123,823649506
207,4,3,1968,55111,669270581
91,4,1,1964,55107,794825476
174,4,3,1997,55156,944404934
245,5,3,1963,55156,656246102
32,2,3,1952,55106,656105304
189,2,2,1999,55110,764124160
256,1,2,2003,55111,513444501
298,2,3,1955,55156,745688436
149,2,1,1998,55126,336592387
118,5,3,1972,55107,825528633
97,4,3,1969,55123,770770395
127,4,2,2009,55109,717693871
296,5,2,1994,55109,767966842
134,2,2,2010,55126,437971917
152,5,3,2005,55111,945644256
58,1,3,1951,55123,446391747
166,4,1,1994,55156,605533417
224,3,3,1989,55110,538547530
255,1,3,1973,55123,865694502
199,1,2,1978,55160,772210079
38,5,2,2016,55160,510099331
69,2,2,2017,55123,557541440
54,4,2,2015,55156,436723232
290,3,2,2003,55109,618468762
255,1,1,2002,55109,513128041
153,3,1,1998,55156,553344006
67,2,1,1981,55126,343848920
280,2,2,2010,55126,803311303
205,3,2,1991,55199,575532065
119,4,2,1950,55156,840711336
66,2,1,2012,55109,689091843
205,3,2,1984,55160,646643531
110,1,1,2000,55160,427674425
143,3,2,2020,55110,752640798
69,3,3,1994,55126,466336074
253,5,1,2014,55156,735712036
144,2,3,1963,55160,482961771
215,4,1,1952,55109,847599354
85,4,2,1973,55160,433674548
69,5,2,2014,55199,848014819
69,4,3,1997,55110,693232556
266,3,2,1959,55107,556378773
291,5,1,1962,55109,965457792
245,1,2,2022,55160,579209329
176,2,2,1963,55126,582027139
197,2,1,1959,55107,655093539
121,2,3,1989,55156,714345735
88,3,3,1972,55160,688691547
88,1,2,2004,55110,656504677
198,5,1,2012,55111,536482043
298,5,3,2020,55110,976767274
74,2,3,1991,55156,419420795
210,1,2,2015,55110,383842280
199,1,1,2022,55126,563420653
220,1,3,1996,55107,542545539
184,4,2,2001,55111,778422796
217,4,2,1967,55106,691573861
36,2,2,1967,55199,438620797
162,1,2,1973,55107,481962776
264,1,3,1972,55199,461366210
74,5,1,1961,55107,532319030
278,5,2,1972,55107,666410975
60,2,2,1970,55111,701687846
52,1,3,2013,55123,581746624
189,2,2,2021,55106,580402954
187,5,2,1983,55123,684240449
68,5,1,1951,55160,761787204
111,4,2,2018,55126,555326135
287,2,3,1980,55110,957951253
235,2,1,2017,55107,444492285
106,1,3,2019,55160,341662381
41,1,1,1968,55160,430984844
253,4,1,2021,55199,639361455
42,3,2,1962,55160,692743254
75,3,2,2014,55107,650747566
184,3,2,1955,55160,745267358
142,2,3,2020,55156,515436130
262,2,2,1976,55106,618099941
46,5,2,2001,55107,515588200
252,2,1,1997,55126,656211618
217,2,2,2017,55126,648821053
192,2,2,1993,55106,735700012
103,4,2,1966,55111,436181564
262,2,2,1987,55126,676087116
253,1,1,1959,55126,643360117
89,1,2,2003,55106,428392198
251,5,1,1955,55126,651076612
66,4,3,1955,55107,742733817
225,1,2,2001,55123,800408540
271,4,2,1964,55111,846303495
248,4,2,2017,55106,813237173
221,5,1,2006,55123,679495612
46,4,2,2005,55156,421783142
41,2,2,1956,55123,485601622
222,4,3,2000,55111,567866595
51,5,1,2007,55160,778586665
149,5,1,2013,55199,874203645
239,5,3,1975,55160,1023627267
299,1,1,2007,55109,609423197
221,2,2,1980,55106,785920178
204,1,2,2015,55123,388953961
233,3,3,1962,55199,885789158
193,2,1,1967,55126,392849860
280,4,1,2024,55123,724343234
256,5,1,1962,55199,1034079381
36,3,3,1973,55123,635531029
58,2,2,2006,55107,277460607
62,1,3,1978,55107,382108117
163,5,2,2005,55110,711570396
108,1,3,2003,55123,521136297
87,2,2,1954,55199,306793083
55,2,1,1984,55107,320762422
255,3,1,1968,55123,811698572
33,4,1,2004,55123,551240198
128,1,3,2018,55109,339598409
68,3,3,1993,55199,444734555
186,5,3,1987,55156,992073155
104,4,1,2011,55111,651926714
159,3,2,1971,55126,737422623
204,1,1,2022,55109,388862677
113,2,1,1989,55156,657536531
51,5,2,1975,55111,844522031
56,1,2,1954,55199,360746835
224,4,2,2003,55111,560779909
265,4,2,1998,55123,908094728
121,2,1,1952,55110,397829339
50,2,3,1987,55156,447826636
113,5,1,1963,55107,621283038
291,5,2,1996,55111,695818982
176,2,3,1963,55199,722025777
286,2,3,2024,55107,904484557
87,4,1,2022,55106,432138389
44,2,1,1987,55109,648643317
191,3,1,2013,55199,789501356
192,1,3,1993,55156,440768471
41,2,3,2019,55156,407092487
237,5,3,2014,55199,978440142
56,3,2,1974,55160,328673074
101,5,2,1965,55110,542773032
89,3,1,1964,55199,431818373
174,2,3,1952,55123,656426520
122,1,1,2016,55109,517274590
37,5,3,1986,55126,683939949
108,3,1,2004,55111,601140572
56,4,2,1987,55111,413237782
203,2,3,2012,55160,564590025
79,1,2,1950,55109,652790280
228,2,3,2020,55156,879455344
210,4,1,1968,55156,775243468
53,1,3,2001,55110,330452191
75,4,2,1979,55107,471967152
44,2,3,2004,55111,541442226
182,3,1,1963,55126,595932908
251,2,3,1962,55156,672165992
235,2,2,1976,55199,580959616
265,2,1,1958,55109,687184548
257,5,2,1990,55160,642047975
38,4,3,1997,55110,818856593
195,4,2,1961,55106,664480483
243,4,3,1959,55109,931122910
146,5,1,1955,55110,805938485
101,3,2,1983,55156,517313344
93,2,2,2001,55199,482899118
234,3,3,1990,55156,921811123
238,5,2,1955,55109,722629987
101,4,2,1951,55126,783846008
124,2,1,1964,55106,496656392
195,1,3,1966,55156,393947157
61,1,3,1965,55126,624570907
40,3,1,1977,55199,708584921
246,4,1,2021,55126,932514035
131,1,3,1959,55160,631168521
296,3,1,1959,55111,534931127
243,5,1,1959,55126,597644782
208,3,1,2022,55160,680149047
117,3,3,1977,55126,732666718
70,3,1,1973,55156,607329376
105,2,2,1968,55126,490751391
75,3,2,2017,55160,392018346
189,3,3,2005,55126,914357195
109,2,1,2016,55107,339609081
115,2,2,1991,55126,429173250
121,5,3,1961,55199,596507830
177,4,2,1967,55123,815269308
190,1,1,1972,55107,763324783
231,1,3,1955,55109,636963289
271,3,2,2002,55160,656914763
31,5,3,1991,55109,818830799
254,3,2,2015,55156,760302644
262,1,2,1979,55110,540993328
106,2,1,1958,55110,322599131
145,4,1,1991,55199,762884422
183,5,2,1983,55107,915232700
132,2,3,1989,55156,746485499
223,4,3,1966,55123,829945128
195,5,1,1978,55109,728641251
119,5,2,1999,55107,561007111
203,1,1,1998,55156,464788873
151,2,2,2022,55111,608355022
172,5,2,2010,55109,665873142
135,5,1,1995,55110,654286973
152,4,3,1995,55160,848626577
38,1,1,1966,55107,187744813
291,3,2,2015,55107,746815140
102,1,1,1954,55123,506418792
252,3,3,2003,55126,735160300
70,2,3,1965,55109,345298620
233,2,2,1956,55199,526406968
293,5,1,1957,55109,631867314
207,2,3,2021,55160,470708714
113,5,1,1987,55107,575347819
140,1,3,2003,55110,430616290
280,2,2,1964,55107,892784961
36,1,2,1999,55123,640909878
113,1,1,2005,55110,362393742
237,2,2,1958,55110,674512036
51,1,3,1957,55126,303351782
32,2,2,1968,55199,380276835
156,2,3,2000,55106,591865988
217,2,3,2021,55107,840351919
43,3,2,2006,55110,583029070
41,1,3,2017,55123,445882138
116,4,3,1980,55111,868027151
41,2,1,1952,55106,455941240
54,1,1,1992,55126,323010019
272,5,1,1978,55106,854969169
151,2,2,1959,55110,522018901
176,2,1,1961,55126,618064887
84,4,3,1995,55110,631040670
267,3,2,1979,55110,967733562
202,3,2,1981,55110,659538532
250,2,2,2022,55109,568259233
148,1,2,1996,55106,374213263
212,5,3,2012,55107,644347973
111,5,3,1975,55106,514603514
240,1,1,1952,55109,724413710
179,2,2,1972,55111,526918289
66,5,1,2024,55110,669399653
88,3,3,2023,55107,542399500
160,1,2,1999,55109,323516951
231,4,3,1985,55111,799892812
272,2,1,1962,55126,593160687
64,1,3,1978,55107,351045296
122,5,2,1987,55156,911117521
236,2,2,1954,55123,887879087
242,3,1,1969,55126,640972128
188,2,2,1963,55160,675891941
53,2,3,1957,55111,720477162
33,3,3,1997,55199,648928709
249,3,3,1962,55123,882679952
49,2,3,1973,55109,540912771
181,3,1,2014,55123,417883853
79,1,3,1983,55107,280815453
206,3,1,2000,55160,612858887
125,3,3,1952,55111,474229621
134,2,1,2007,55126,591835748
279,1,3,2021,55106,915792393
146,4,3,2004,55156,848805331
257,4,1,1991,55111,759297019
95,5,2,1970,55110,853711860
291,3,2,1959,55160,767467298
272,3,2,2006,55199,895482607
215,1,1,1974,55109,481254719
275,4,2,2005,55107,800120457
154,5,2,1987,55156,580403547
297,1,1,2010,55109,658810702
160,3,2,1996,55106,468785626
266,4,2,2003,55106,862140892
47,5,2,1995,55109,794890633
69,2,1,2017,55160,474939411
50,4,1,1953,55160,516382357
254,5,2,2015,55199,1007838257
37,1,2,1992,55110,365141359
129,2,1,2011,55156,445798836
269,5,2,1953,55107,788378426
116,5,1,2014,55126,827728072
43,3,2,2011,55110,712577335
31,4,1,1951,55160,337175248
70,3,3,1958,55160,515123561
140,2,3,2006,55156,536035410
43,5,1,1994,55106,767033330
260,3,3,1967,55109,878006052
113,4,2,1997,55106,764130721
159,2,1,1991,55110,698490542
260,1,1,1990,55110,657182128
174,3,2,2024,55123,565409722
57,2,2,2007,55126,696942665
95,1,1,1991,55107,587896126
192,3,2,1984,55111,761991453
258,2,1,1987,55126,841785812
290,2,2,2016,55106,822181908
193,3,1,1990,55106,467910069
39,2,2,1999,55160,394389089
224,5,2,2021,55107,945906504
147,3,3,1994,55156,558047649
299,2,3,2020,55123,702606961
109,1,3,1968,55126,633602827
122,1,2,1966,55111,292516142
295,5,1,2014,55199,786830740
286,3,2,2005,55123,746987896
162,2,3,1990,55109,528342995
293,2,2,1991,55199,503694961
200,1,3,1955,55111,730121597
30,5,3,2018,55111,545394284
93,1,1,2024,55106,504452259
150,1,1,2022,55109,418577470
136,5,3,1989,55123,788541067
204,3,3,1990,55109,539312424
233,2,2,1958,55160,853656158
194,3,3,1957,55106,570223617
149,4,2,1993,55126,599156559
73,4,3,2007,55199,464319295
185,4,1,2016,55123,891501504
236,5,1,1962,55123,917671683
137,1,3,1968,55107,368555758
280,3,2,1998,55156,718299891
159,2,2,1979,55123,524980339
49,4,2,2015,55111,534378734
30,3,3,2008,55110,571140194
148,4,3,2002,55156,893696460
64,4,1,2001,55109,789867313
227,2,1,1980,55126,594574828
274,5,3,1964,55106,688771550
88,1,1,1969,55126,458884179
190,5,2,1954,55160,616238903
208,3,2,1956,55111,711464518
235,5,3,1967,55160,1016354936
41,3,2,2005,55107,540650791
210,3,3,2024,55123,530922784
271,1,2,1994,55123,659233627
245,2,3,1977,55109,758167985
280,1,2,1999,55111,808016171
155,5,2,1951,55111,635736881
246,3,1,2017,55111,521281787
214,4,1,1973,55126,802555831
68,4,1,1997,55126,674426155
252,3,1,1994,55111,713782099
213,1,1,2007,55110,433111327
207,2,1,1985,55199,749216776
180,1,3,1951,55126,595765921
155,3,3,1967,55106,661083725
263,3,1,1998,55110,934893059
37,2,3,1957,55123,661727452
158,5,1,2007,55111,914146428
293,5,3,1964,55126,707132686
186,2,2,1966,55111,446489086
34,5,3,1972,55123,517140624
115,4,3,2015,55126,619767880
204,5,3,2019,55110,641145498
222,5,2,1976,55106,799797296
148,5,1,1986,55126,627226190
247,4,3,1998,55111,1007846500
143,5,3,2013,55110,805142235
174,4,2,1983,55199,624837169
55,2,1,1967,55111,533276150
165,1,3,2013,55156,580747331
261,2,2,2023,55156,882607764
105,1,1,1993,55160,235554999
30,2,1,1966,55110,268472289
176,1,3,2008,55123,530803474
171,1,3,1962,55156,683068474
82,3,3,2001,55107,618069753
98,1,3,2009,55126,520122660
119,1,2,1991,55111,492311666
249,3,2,2013,55111,787428319
221,5,3,2015,55199,888364140
92,5,1,1983,55123,422575343
102,3,3,2020,55107,603402251
190,4,1,2013,55110,747292712
198,1,1,1982,55160,776122167
118,1,1,1961,55110,262635087
205,3,2,1968,55110,701870669
298,3,1,1958,55199,577937461
102,4,1,2023,55110,387960445
274,5,2,1966,55110,928663232
106,2,1,1999,55107,316561651
188,5,1,1988,55107,690831289
127,1,3,1990,55123,692119967
131,3,1,1959,55111,563700308
161,4,1,1961,55109,504702275
131,5,1,1964,55123,767264648
48,4,1,1977,55111,395174647
111,5,1,1953,55160,480680126
158,1,2,1985,55123,429081517
118,2,1,2014,55107,575103573
242,4,1,1996,55156,877438859
172,4,2,1988,55106,546337535
94,2,2,1987,55126,504427037
105,4,1,1993,55199,687893149
228,4,1,2000,55110,726792671
172,5,1,1975,55111,703190715
122,5,3,1985,55109,696887907
253,2,3,2018,55160,602131846
131,1,1,1950,55123,629722368
296,4,2,2002,55111,798814446
139,1,1,1955,55107,544646251
294,2,2,1986,55123,792690795
32,2,2,1951,55107,537953817
114,5,2,2018,55107,890766042
146,4,1,1990,55106,479532156
250,3,1,2000,55123,495795052
183,2,2,1996,55199,604003919
182,4,3,1962,55107,867646189
41,1,3,2018,55156,538131142
162,5,3,2015,55123,648567967
257,1,2,2008,55107,441247036
72,2,1,2017,55156,456733528
50,2,2,2008,55107,298733406
136,1,3,1959,55109,696400527
146,2,1,1962,55106,511396470
153,4,2,1951,55107,630608680
232,2,2,1964,55109,702127097
80,5,3,1995,55106,514621005
170,4,2,2006,55126,628777304
81,3,1,1959,55123,430522077
56,2,3,1971,55110,331374839
186,2,3,1957,55110,677771334
268,5,1,1970,55156,773430539
185,5,3,1971,55110,815085978
165,1,2,1994,55126,688943469
173,1,2,1989,55126,688941330
135,1,3,1971,55109,357401636
187,5,1,1979,55160,588773627
175,1,2,2011,55107,480481961
31,1,1,2022,55109,161453104
106,3,2,1994,55106,515062687
161,1,2,1984,55199,598773575
119,2,3,1991,55123,712212528
292,5,3,1954,55107,1088844364
137,4,1,1976,55123,684269949
103,3,3,2019,55110,642573834
68,5,2,2011,55106,783208467
188,5,2,1981,55199,970454417
100,2,1,1957,55110,322579300
270,1,1,1967,55107,688624645
65,2,2,1964,55126,719439891
113,1,3,1975,55110,610805151
292,1,3,2002,55106,862543469
201,5,1,1993,55126,629992028
202,1,1,1981,55160,642619907
76,3,2,1977,55199,388025414
170,3,2,1988,55110,631552810
147,3,1,1981,55109,730650003
243,5,2,1967,55126,656623457
249,2,1,2019,55111,508518819
55,4,1,1960,55107,464477958
38,1,3,1981,55109,609027360
39,4,1,1969,55156,483528270
150,2,2,1989,55107,581981939
154,2,3,1957,55123,602294623
199,5,3,1984,55160,769054741
101,3,2,2018,55107,506677943
181,3,2,1970,55156,740398823
237,2,2,1973,55110,464704796
78,5,1,1966,55126,575495896
183,5,3,1967,55111,934613188
97,1,1,1961,55123,396193421
79,3,1,1965,55123,346915057
181,2,1,1953,55109,390566818
48,4,1,1983,55199,724352321
129,3,3,1995,55110,744623512
89,1,3,2024,55156,360742901
196,5,1,1980,55109,895097423
231,2,2,1974,55126,782763663
175,3,3,2023,55123,606072251
193,4,1,1973,55156,601247728
271,1,2,2014,55156,540231074
98,1,2,1974,55109,581497110
204,3,1,1977,55111,502566532
78,4,3,1985,55156,781587007
137,1,2,1955,55106,577618018
255,2,3,2015,55123,771503388
190,1,3,2016,55111,391281390
148,4,2,2021,55126,745933636
178,5,1,1997,55110,596248885
179,5,2,2019,55160,714477506
172,3,2,2016,55109,506647301
189,4,3,1997,55109,590551469
40,1,1,2014,55109,263539127
167,1,3,1993,55160,755844417
107,5,2,2012,55106,534869533
106,5,1,1995,55199,685819557
283,2,1,1968,55106,847373252
287,5,1,2013,55109,784167984
292,2,1,2022,55199,841028234
114,1,1,2020,55123,674924480
175,2,2,1999,55160,658262217
71,2,2,2012,55107,587687603
154,3,2,1990,55199,606817195
196,5,3,1956,55156,959691225
270,2,1,1958,55123,467427232
217,1,1,1953,55199,496508314
48,4,2,1998,55123,444168119
97,2,1,1955,55107,316118577
247,5,3,1970,55111,1047688395
131,3,1,1964,55111,500702529
71,1,1,2016,55106,504322624
196,3,3,2015,55111,570292544
138,4,2,2005,55106,747488632
65,2,2,2017,55199,369782332
261,2,1,1981,55156,726833504
258,5,3,2015,55199,1088106453
193,2,2,1978,55107,762809995
102,1,2,2015,55199,399838694
165,4,2,1983,55106,924788707
99,3,1,1976,55110,708239572
225,4,3,2009,55126,671751059
298,2,1,1988,55123,888507171
78,3,2,1993,55111,642632857
159,5,3,1985,55123,635150318
34,4,1,1968,55126,346102110
56,3,2,1994,55111,428479872
189,3,2,1970,55160,669820901
178,3,1,1972,55107,821054605
293,1,2,1976,55106,825772185
259,4,2,2021,55111,717445485
229,3,3,1968,55111,909665513
79,4,2,1990,55156,732424134
96,3,1,1975,55123,450112951
87,5,3,1977,55109,484746550
288,5,1,2013,55110,741263349
159,5,2,2017,55106,537779723
244,2,3,2000,55107,891302974
201,3,3,2023,55160,886633559
287,2,3,1997,55126,535166738
131,4,3,1959,55160,759215496
238,2,1,2022,55111,551660002
145,4,2,1988,55160,460664899
293,4,2,1968,55123,1021017772
179,4,3,2013,55106,667936233
65,2,2,1968,55199,477438495
237,3,1,2011,55107,656106285
135,2,2,1962,55107,536611461
187,3,1,1974,55156,487331517
150,3,1,1991,55126,818617947
84,4,2,1988,55160,815899559
41,2,1,1979,55107,328230386
174,3,1,1954,55156,675062940
165,5,1,1967,55123,650099945
32,3,1,1970,55111,631912693
173,5,3,1999,55126,601300868
59,2,2,1955,55123,453349444
266,2,3,1999,55160,700401380
144,2,1,2015,55160,608584872
133,3,2,1950,55199,631486076
147,1,1,2006,55111,556053494
34,3,2,1979,55199,363058459
277,3,3,2007,55126,846261992
150,4,2,2001,55199,542998126
178,4,1,1986,55110,495276680
113,3,2,1997,55156,536350940
260,5,2,1950,55111,661150157
190,4,3,1968,55199,867203109
67,3,1,1995,55156,643854205
255,1,2,2016,55126,738045941
171,5,3,1951,55160,1001764083
180,2,2,2005,55106,593667559
143,3,1,1966,55123,562826593
266,3,2,1971,55106,967362217
95,5,2,1976,55106,767686861
287,4,2,2004,55199,693111057
278,4,2,1981,55110,734449184
209,4,1,2009,55123,585937077
219,2,3,1977,55109,513574945
183,5,3,1977,55109,664714651
225,5,2,2023,55111,728210083
291,4,1,1974,55110,915885231
172,4,1,1975,55126,563518806
130,1,1,2024,55160,305027561
273,1,1,2020,55199,718999120
41,3,1,1966,55109,680457787
268,3,1,1956,55160,771421514
78,5,2,2005,55160,833019295
